id,isolate,country,year,'mtrR,NEIS1753(PenA),NG_23S,NG_gyrA,NG_parC,NG_ponA,NG_porB,ST(NG STAR),CC(NG STAR)
136629,UG453,Uganda,,332,1919,100,1,49,1,3,4680,
136630,UG454,Uganda,,494,294,100,1,22,100,13,4803,1362
136631,UG456,Uganda,,57,294,100,1,22,100,100,3178,1362
136632,UG457,Uganda,,10,294,100,1,22,100,14,1890,1362
136633,UG458,Uganda,,57,294,100,1,22,100,100,3178,1362
136634,UG459,Uganda,,10,294,100,7,7,1,3,4692,1603
136635,UG460,Uganda,,10,294,100,7,22,1,14,4706,1603
136636,UG462,Uganda,,10,1919,100,1,22,1,3,4691,
136637,UG463,Uganda,,10,294,100,1,22,100,100,1362,1362
136638,UG464,Uganda,,10,285,100,7,103,100,100,4757,
136639,UG466,Uganda,,10,294,100,1,22,100,14,1890,1362
136640,UG467,Uganda,,57,294,100,1,22,100,100,3178,1362
136641,UG468,Uganda,,163,166,100,1,22,100,3,4759,
136642,UG469,Uganda,,57,166,100,1,22,100,14,4697,
136643,UG471,Uganda,,495,3126,100,1,22,100,13,4672,
136644,UG472,Uganda,,10,166,100,1,22,100,100,4825,1271
136645,UG473,Uganda,,10,23,100,1,4,1,100,1627,1771
136646,UG476,Uganda,,57,294,100,1,22,100,100,3178,1362
136647,UG477,Uganda,,10,294,100,7,22,1,13,1603,1603
136648,UG478,Uganda,,163,166,100,1,22,100,3,4759,
136649,UG479,Uganda,,332,1919,100,1,22,1,14,4769,
136650,UG481,Uganda,,332,1919,100,1,22,1,14,4769,
136651,UG482,Uganda,,18,23,100,1,10,1,100,4687,
136652,UG483,Uganda,,18,23,100,7,4,1,13,4741,426
136653,UG484,Uganda,,18,23,100,1,10,1,100,4687,
136654,UG486,Uganda,,10,294,100,1,22,100,14,1890,1362
136655,UG487,Uganda,,332,1919,100,1,22,1,3,4749,
136656,UG488,Uganda,,332,3223,100,1,22,1,3,4798,
136657,UG489,Uganda,,163,166,100,1,22,100,14,4731,
136658,UG491,Uganda,,18,23,100,1,4,1,100,4758,1771
136659,UG492,Uganda,,332,3224,100,1,22,1,3,4812,
136660,UG493,Uganda,,5,166,100,1,49,100,100,4694,
136661,UG494,Uganda,,332,1919,100,1,22,1,3,4749,
136662,UG496,Uganda,,10,294,100,1,22,100,14,1890,1362
136663,UG497,Uganda,,10,294,100,1,22,100,14,1890,1362
136664,UG498,Uganda,,10,294,100,1,22,100,14,1890,1362
136665,UG499,Uganda,,10,294,100,7,22,1,100,4679,1603
136666,UG502,Uganda,,54,294,100,1,22,100,100,4829,1362
136667,UG504,Uganda,,163,23,100,7,22,100,3,4738,
138602,1758620,Burkina Faso,,18,23,100,1,10,100,100,4682,1771
138603,1789338,Burkina Faso,,38,228,100,7,26,1,12,567,247
138604,1793605,Burkina Faso,,38,228,100,7,26,1,12,567,247
138605,1794397,Burkina Faso,,135,228,100,7,55,1,12,4677,247
138606,1796110,Burkina Faso,,10,294,100,1,18,100,3,4835,42
138607,1797304,Burkina Faso,,18,294,100,7,22,1,13,4722,1603
138608,1797700,Burkina Faso,,10,294,100,100,2,100,3,1021,42
138609,1798962,Burkina Faso,,18,23,100,1,18,100,100,464,896
138610,1799082,Burkina Faso,,18,166,100,1,3,1,14,1336,
138611,1803769,Burkina Faso,,38,228,100,7,26,1,13,2069,268
138612,1811823,Burkina Faso,,10,294,100,1,18,100,3,4835,42
138613,1812526,Burkina Faso,,54,23,100,1,3,100,13,4598,
138614,1812711,Burkina Faso,,54,,100,1,3,100,13,,
138615,1815140,Burkina Faso,,18,23,100,100,2,100,3,533,1958
138616,1815512,Burkina Faso,,19,287,100,7,8,1,23,3366,
138617,1817348,Burkina Faso,,135,228,100,7,55,1,3,4729,433
138618,1817488,Burkina Faso,,18,23,100,1,3,1,14,1215,
138619,1820787,Burkina Faso,,38,228,100,7,26,1,12,567,247
138620,1824480,Burkina Faso,,18,23,100,2,10,1,13,4751,
138621,1833686,Burkina Faso,,38,228,100,7,26,1,12,567,247
138622,1835253,Burkina Faso,,54,23,100,1,3,100,3,4712,
138623,1836371,Burkina Faso,,18,23,100,2,10,1,13,4751,
138624,1837880,Burkina Faso,,18,3235,100,1,3,1,14,4832,
138625,1851157,Burkina Faso,,135,166,100,1,4,100,8,4710,
138626,1852877,Burkina Faso,,10,294,100,1,18,100,3,4835,42
138627,1860352,Burkina Faso,,135,23,100,1,3,100,37,4732,
138628,1862007,Burkina Faso,,38,228,100,7,26,1,12,567,247
138629,1863509,Burkina Faso,,10,294,100,1,18,100,3,4835,42
138630,1863706,Burkina Faso,,38,228,100,7,26,1,12,567,247
138631,1868695,Burkina Faso,,38,228,100,7,26,1,12,567,247
138632,1869574,Burkina Faso,,5,294,100,1,10,100,14,4747,
138633,B33,Burkina Faso,,54,23,100,1,3,100,13,4598,
138634,OAAS100,Burkina Faso,,18,23,100,2,10,1,13,4751,
138635,OAAS14,Burkina Faso,,47,228,100,7,17,1,14,271,433
138636,OAAS19,Burkina Faso,,18,23,100,2,10,1,13,4751,
138637,OAAS36,Burkina Faso,,47,228,100,7,17,1,14,271,433
138638,OAAS39,Burkina Faso,,18,23,100,100,100,100,14,1888,
138639,OAAS46,Burkina Faso,,35,21,100,2,49,1,8,4720,
138640,OAAS51,Burkina Faso,,47,228,100,7,180,1,14,4833,2351
138641,OAAS69,Burkina Faso,,173,21,100,7,150,1,13,3360,
138642,OAAS74,Burkina Faso,,47,228,100,7,17,1,14,271,433
138643,OAAS76,Burkina Faso,,1,166,100,1,10,100,13,3352,
138644,OAAS77,Burkina Faso,,18,23,100,2,10,1,13,4751,
138645,OAAS79,Burkina Faso,,1,166,100,1,10,100,13,3352,
138646,OAAS80,Burkina Faso,,10,,100,1,18,100,3,,
138647,OAAS85,Burkina Faso,,38,228,100,7,15,1,12,247,247
138648,OAAS86,Burkina Faso,,38,228,100,7,15,1,12,247,247
138649,OAAS87,Burkina Faso,,1,166,100,1,10,100,13,3352,
138650,OAAS92,Burkina Faso,,47,228,100,7,180,1,14,4833,2351
138651,OAAS94,Burkina Faso,,18,23,100,2,10,1,13,4751,
138652,OAAS96,Burkina Faso,,47,228,100,7,180,1,14,4833,2351
138653,OAAS97,Burkina Faso,,18,23,100,2,10,1,13,4751,
138787,7092,South Africa,2022,,,,,,,,,
139453,7316,South Africa,2023,,,,,,,,,
139454,8374,South Africa,2023,,,,,,,,,
139455,8486,South Africa,2023,,,,,,,,,
139860,5232,South Africa,2023,,,,,,,,,
139861,7493,South Africa,2023,,,,,,,,,
139862,5412,South Africa,2023,,,,,,,,,
140559,17MUS_AH099_S94,South Africa,2017,69,285,100,1,22,1,100,1496,958
140560,17MUS_AH121_S96,South Africa,2017,18,228,100,7,20,1,3,1635,268
140561,17MUS_AH117_S95,South Africa,2017,54,166,100,100,2,100,14,5695,1958
140562,18MUS_AH145_S102,South Africa,2018,93,3513,100,1,89,1,100,,
140563,18MUS_AH147_S103,South Africa,2018,38,228,100,7,26,1,12,567,247
140564,18MUS_KH083_S97,South Africa,2018,710,3514,100,100,2,100,100,,
140565,18MUS_KM012_S99,South Africa,2018,54,515,100,100,2,100,100,1749,1958
140566,18MUS_KM013_S80,South Africa,2018,10,3515,100,100,89,100,100,,
140567,18MUS_KM016_S100,South Africa,2018,54,17,100,100,7,100,100,,
140568,18MUS_KM021_S81,South Africa,2018,10,294,100,100,89,1,37,,
140569,18MUS_KM070_S101,South Africa,2018,54,17,100,100,7,100,3,,
140570,18MUS_KM071_S82,South Africa,2018,10,294,100,1,4,100,100,1759,1771
140571,18MUS_ZW085_S98,South Africa,2018,18,228,100,7,15,1,100,1632,1632
140572,19MUS_AH073_S104,South Africa,2019,,538,100,100,2,100,14,,
140573,19MUS_AH108_S105,South Africa,2019,40,23,100,7,4,100,100,427,427
140574,19MUS_AH110_S83,South Africa,2019,10,23,100,1,4,1,100,1627,1771
140575,19MUS_AH122_S106,South Africa,2019,10,20,100,100,2,1,11,,
140576,19MUS_AH166_S107,South Africa,2019,18,228,100,1,26,1,100,,
140577,20MUS_AH027_S84,South Africa,2020,1,228,100,100,2,100,100,,
140578,20MUS_AH028_S108,South Africa,2020,69,285,100,1,22,1,19,1623,958
140579,20MUS_AH030_S85,South Africa,2020,711,166,100,7,20,100,100,,
140580,20MUS_AH032_S109,South Africa,2020,10,166,100,7,20,100,13,,
140581,20MUS_AH0138_S110,South Africa,2020,69,285,100,1,22,1,19,1623,958
140582,20MUS_CZ054_S86,South Africa,2020,10,294,100,1,4,100,14,5191,1771
140583,20MUS_CZ055_S111,South Africa,2020,40,23,100,7,4,100,100,427,427
140584,21MUS_AH020_S112,South Africa,2021,18,228,100,7,20,1,14,1865,268
140585,21MUS_AH021_S113,South Africa,2021,25,166,1,1,4,100,100,4322,
140586,21MUS_AH104_S114,South Africa,2021,171,166,100,1,90,100,13,4728,
140587,21MUS_AH105_S87,South Africa,2021,568,294,2,1,4,100,13,5242,
140588,21MUS_AH110_S115,South Africa,2021,40,23,100,7,4,100,100,427,427
140589,21MUS_AH111_S88,South Africa,2021,712,166,100,7,20,100,100,,
140590,21MUS_AH124_S116,South Africa,2021,40,23,100,7,4,100,100,427,427
140591,21MUS_AH125_S89,South Africa,2021,25,166,1,1,4,100,100,4322,
140592,21MUS_AH166_S117,South Africa,2021,69,285,100,1,22,1,19,1623,958
140593,21MUS_AH237_S90,South Africa,2021,10,23,100,1,102,100,3,1930,1771
140594,21MUS_AH239_S118,South Africa,2021,10,23,100,1,22,100,100,1271,1271
140595,21MUS_CZ189_S91,South Africa,2021,171,294,100,1,90,100,3,1758,
140596,21MUS_CZ191_S119,South Africa,2021,54,228,100,100,1,100,100,1645,20
140597,21MUS_CZ197_S120,South Africa,2021,497,166,100,1,22,100,13,,
140598,21MUS_CZ198_S92,South Africa,2021,171,294,100,1,15,100,100,,
140599,21MUS_CZ201_S121,South Africa,2021,40,23,100,1,4,100,100,898,427
140600,22MUS_AH054_S93,South Africa,2022,568,294,2,1,4,100,13,5242,
140601,17MUS_AH098,South Africa,2017,9,166,100,100,100,100,13,467,63
140602,17MUS_AH118,South Africa,2017,10,23,100,1,4,1,100,1627,1771
140603,17MUS_AH120,South Africa,2017,10,294,100,1,100,1,3,1629,
140604,17MUS_KH085,South Africa,2017,9,166,100,100,100,100,1,63,63
140605,17MUS_ZW084,South Africa,2017,713,23,100,100,206,100,100,,
140611,19MUS_AH072,South Africa,2019,9,166,,100,100,100,13,,
140612,19MUS_AH119,South Africa,2019,9,166,100,100,100,100,1,63,63
140613,19MUS_AH164,South Africa,2019,10,294,100,1,4,100,13,5508,1771
140617,20MUS_AH139,South Africa,2020,10,23,100,1,4,100,100,1771,1771
140618,21MUS_AH165,South Africa,2021,568,294,2,1,4,100,13,5242,
140619,21MUS_CZ202,South Africa,2021,714,23,100,1,4,100,100,,
143552,ET22-107,Ethiopia,2022,,,,,,,,,
143553,ET22-023,Ethiopia,2022,,,,,,,,,
143554,ET22-177,Ethiopia,2022,,,,,,,,,
143555,ET22-180,Ethiopia,2022,,,,,,,,,
143556,ET22-225,Ethiopia,2022,,,,,,,,,
144414,67876,Kenya,2002,,,,,,,,,
144419,67886,Kenya,2007,,,,,,,,,
144426,67917,Kenya,2002,,,,,,,,,
144429,67923,Kenya,2003,,,,,,,,,
144430,67924,Kenya,2003,,,,,,,,,
144432,67933,Kenya,2004,,,,,,,,,
144438,67947,Kenya,2004,,,,,,,,,
144440,67956,Kenya,2008,,,,,,,,,
144444,67965,Kenya,2006,,,,,,,,,
144447,67970,Kenya,2008,,,,,,,,,
144448,67974,Kenya,2006,,,,,,,,,
144868,M101,Lesotho,2022,,,,,,,,,
144869,M107,Lesotho,2022,,,,,,,,,
144870,M307,Lesotho,2022,,,,,,,,,
144871,M356,Lesotho,2022,,,,,,,,,
144872,M357,Lesotho,2022,,,,,,,,,
144873,M422,Lesotho,2022,,,,,,,,,
144874,M498,Lesotho,2022,,,,,,,,,
144990,67967,Kenya,2008,,,,,,,,,
144991,67973,Kenya,2008,,,,,,,,,
144992,67980,Kenya,2007,,,,,,,,,
144998,67990,Kenya,2007,,,,,,,,,
145001,68001,Kenya,2007,,,,,,,,,
147574,LS-M338,Lesotho,2023,,,,,,,,,
147575,LS-M353,Lesotho,2022,,,,,,,,,
147576,LS-M355,Lesotho,2022,,,,,,,,,
147577,LS-M370,Lesotho,2022,,,,,,,,,
147578,LS-M376,Lesotho,2022,,,,,,,,,
147579,LS-M380,Lesotho,2022,,,,,,,,,
147580,LS-M382,Lesotho,2022,,,,,,,,,
147581,LS-M406,Lesotho,2022,,,,,,,,,
147582,LS-M417,Lesotho,2023,,,,,,,,,
147583,LS-M424,Lesotho,2023,,,,,,,,,
147584,LS-M433,Lesotho,2023,,,,,,,,,
147585,LS-M446,Lesotho,2023,,,,,,,,,
147586,LS-M468,Lesotho,2023,,,,,,,,,
147587,LS-M487,Lesotho,2023,,,,,,,,,
147588,LS-M495,Lesotho,2023,,,,,,,,,
147589,LS-M502,Lesotho,2023,,,,,,,,,
147590,LS-M503,Lesotho,2023,,,,,,,,,
147591,LS-M535,Lesotho,2023,,,,,,,,,
147592,LS-M540,Lesotho,2023,,,,,,,,,
150066,M421,Lesotho,2023,,,,,,,,,
150067,M105,Lesotho,2023,,,,,,,,,
150068,M109,Lesotho,2023,,,,,,,,,
150069,M111,Lesotho,2023,,,,,,,,,
150070,M420,Lesotho,2023,,,,,,,,,
150071,M429,Lesotho,2023,,,,,,,,,
150072,M352,Lesotho,2023,,,,,,,,,
150073,M423,Lesotho,2023,,,,,,,,,
154263,LLL001,South Africa,2013,10,294,100,100,89,1,100,1760,352
154264,LLL002,South Africa,2013,10,23,100,1,4,1,100,1627,1771
154265,LLL003,South Africa,2013,10,23,100,1,89,1,100,3413,1054
154266,LLL004,South Africa,2013,54,515,100,100,2,100,3,,
154267,LLL005,South Africa,2013,10,23,100,100,89,1,100,1654,2035
154268,LLL006,South Africa,2013,10,294,100,100,2,100,3,1021,42
154269,LLL007,South Africa,2013,10,294,,100,2,100,13,,
154270,LLL008,South Africa,2013,10,294,100,100,2,100,19,3432,42
154271,LLL009,South Africa,2013,10,294,100,100,89,1,13,,
154272,LLL010,South Africa,2013,11,23,100,100,100,100,100,3410,1958
154273,LLL011,South Africa,2013,171,294,100,1,2,100,14,,
154274,LLL012,South Africa,2013,171,294,100,1,100,100,100,3411,1362
154275,LLL013,South Africa,2013,105,294,100,100,100,100,3,3436,42
154276,LLL014,South Africa,2013,10,294,100,100,2,100,14,357,42
154277,LLL015,South Africa,2013,10,294,100,100,7,100,14,288,352
154278,LLL016,South Africa,2013,767,23,100,100,89,1,14,,
154279,LLL017,South Africa,2013,10,23,100,1,4,1,100,1627,1771
154280,LLL018,South Africa,2013,10,294,100,100,2,100,14,357,42
154281,LLL019,South Africa,2013,171,294,100,1,1,100,3,,
154282,LLL020,South Africa,2013,1,166,100,100,100,1,11,,
154283,LLL022,South Africa,2013,163,515,100,100,2,100,14,3412,
154284,LLL023,South Africa,2013,10,23,100,1,89,1,100,3413,1054
154285,LLL024,South Africa,2013,18,228,100,7,15,1,13,1643,1096
154286,LLL026,South Africa,2014,10,294,100,100,89,1,100,1760,352
154287,LLL027,South Africa,2014,386,23,100,1,89,1,14,,
154288,LLL028,South Africa,2014,10,3123,100,1,100,100,3,3433,
154289,LLL029,South Africa,2014,54,294,100,1,2,100,14,,
154290,LLL030,South Africa,2014,18,23,100,7,20,1,3,3414,
154291,LLL031,South Africa,2014,10,294,100,7,7,1,13,1586,1603
154292,LLL032,South Africa,2014,384,285,100,1,22,1,13,3427,958
154293,LLL034,South Africa,2014,18,228,100,7,15,1,3,5205,1632
154294,LLL035,South Africa,2014,385,285,100,1,22,1,13,3428,958
154295,LLL037,South Africa,2014,9,23,100,1,89,1,100,,
154296,LLL038,South Africa,2014,18,228,100,7,15,1,100,1632,1632
154297,LLL039,South Africa,2014,386,23,100,100,89,1,100,3429,
154298,LLL040,South Africa,2014,18,228,100,7,15,1,100,1632,1632
154299,LLL041,South Africa,2014,18,228,100,7,15,1,100,1632,1632
154300,LLL042,South Africa,2014,54,228,100,7,15,1,100,1641,309
154301,LLL043,South Africa,2014,10,228,100,7,15,1,100,455,309
154302,LLL044,South Africa,2014,763,515,100,1,2,100,100,,
154303,LLL045,South Africa,2014,10,294,100,1,100,1,13,,
154304,LLL046,South Africa,2014,54,515,100,22,2,100,100,,
154305,LLL048,South Africa,2014,10,294,100,100,2,1,14,3415,
154306,LLL049,South Africa,2014,10,23,100,1,89,1,3,,
154307,LLL050,South Africa,2014,105,294,100,100,100,100,100,,
154308,MMM001,South Africa,2014,10,294,100,100,89,1,14,,
154309,MMM002,South Africa,2014,18,228,100,7,15,1,100,1632,1632
154310,MMM003,South Africa,2014,18,228,100,7,20,1,100,1628,1632
154311,MMM004,South Africa,2014,10,294,100,100,2,100,13,269,42
154312,MMM005,South Africa,2014,54,515,100,100,2,100,13,1630,1958
154313,MMM006,South Africa,2014,54,228,100,100,1,100,100,1645,20
154314,MMM007,South Africa,2014,10,294,100,100,2,100,13,269,42
154315,MMM008,South Africa,2014,54,228,100,100,1,100,100,1645,20
154437,MRSN117488.R,Kenya,2021,,,,,,,,,
154438,MRSN117489.R.trimmed,Kenya,2021,,,,,,,,,
154439,MRSN117490.R.trimmed,Kenya,2021,,,,,,,,,
154440,MRSN117491.R.trimmed,Kenya,2021,,,,,,,,,
154441,MRSN117492.R1.trimmed,Kenya,2021,,,,,,,,,
154442,MRSN117493.R.trimmed,Kenya,2021,,,,,,,,,
154443,MRSN117494.R.trimmed,Kenya,2021,,,,,,,,,
154444,MRSN117496.R.trimmed,Kenya,2021,,,,,,,,,
154445,MRSN117498.R.trimmed,Kenya,2021,,,,,,,,,
154446,MRSN117500.R.trimmed,Kenya,2021,,,,,,,,,
154447,MRSN117501.R.trimmed,Kenya,2021,,,,,,,,,
154448,MRSN117502.R.trimmed,Kenya,2021,,,,,,,,,
154449,MRSN117503.R.trimmed,Kenya,2021,,,,,,,,,
154450,MRSN117506.R.trimmed,Kenya,2021,,,,,,,,,
154451,MRSN117507.R.trimmed,Kenya,2021,,,,,,,,,
154452,MRSN117508.R.trimmed,Kenya,2021,,,,,,,,,
154453,MRSN117509.R.trimmed,Kenya,2021,,,,,,,,,
154454,MRSN117510.R.trimmed,Kenya,2021,,,,,,,,,
154455,MRSN117513.R.trimmed,Kenya,2021,,,,,,,,,
154456,MRSN117514.R.trimmed,Kenya,2021,,,,,,,,,
154457,MRSN117515.R.trimmed,Kenya,2021,,,,,,,,,
154458,MRSN117517.R.trimmed,Kenya,2021,,,,,,,,,
154459,MRSN117518.R.trimmed,Kenya,2021,,,,,,,,,
154460,MRSN117519.R.trimmed,Kenya,2021,,,,,,,,,
154461,MRSN117520.R.trimmed,Kenya,2021,,,,,,,,,
154462,MRSN117521.R.trimmed,Kenya,2021,,,,,,,,,
154463,MRSN117522.R.trimmed,Kenya,2021,,,,,,,,,
154464,MRSN117524.R.trimmed,Kenya,2021,,,,,,,,,
154465,MRSN117525.R.trimmed,Kenya,2021,,,,,,,,,
154466,MRSN117531.R.trimmed,Kenya,2021,,,,,,,,,
154467,MRSN117533.R.trimmed,Kenya,2021,,,,,,,,,
154468,MRSN117536.R.trimmed,Kenya,2021,,,,,,,,,
154469,MRSN117538.R.trimmed,Kenya,2021,,,,,,,,,
154470,MRSN117542.R.trimmed,Kenya,2021,,,,,,,,,
154471,MRSN117543.R.trimmed,Kenya,2021,,,,,,,,,
154472,MRSN117549.R.trimmed,Kenya,2021,,,,,,,,,
154473,MRSN117550.R.trimmed,Kenya,2021,,,,,,,,,
154474,MRSN117555.R.trimmed,Kenya,2021,,,,,,,,,
154475,MRSN117556.R.trimmed,Kenya,2021,,,,,,,,,
154476,MRSN117559.R.trimmed,Kenya,2021,,,,,,,,,
154477,MRSN117560.R.trimmed,Kenya,2021,,,,,,,,,
154478,MRSN117561.R.trimmed,Kenya,2021,,,,,,,,,
154479,MRSN117563.R.trimmed,Kenya,2021,,,,,,,,,
154480,MRSN117567.R.trimmed,Kenya,2021,,,,,,,,,
154481,MRSN117570.R.trimmed,Kenya,2021,,,,,,,,,
154482,MRSN117571.R.trimmed,Kenya,2021,,,,,,,,,
154483,MRSN117573.R.trimmed,Kenya,2021,,,,,,,,,
154484,MRSN117575.R.trimmed,Kenya,2021,,,,,,,,,
154485,MRSN117577.R.trimmed,Kenya,2021,,,,,,,,,
154486,MRSN117581.R.trimmed,Kenya,2021,,,,,,,,,
154487,MRSN117582.R.trimmed,Kenya,2021,,,,,,,,,
154488,MRSN117584.R.trimmed,Kenya,2021,,,,,,,,,
154489,MRSN117586.R.trimmed,Kenya,2021,,,,,,,,,
154490,MRSN117588.R.trimmed,Kenya,2021,,,,,,,,,
154491,MRSN117589.R.trimmed,Kenya,2021,,,,,,,,,
154492,MRSN117593.R.trimmed,Kenya,2021,,,,,,,,,
154493,MRSN117595.R.trimmed,Kenya,2021,,,,,,,,,
154494,MRSN117596.R,Kenya,2021,,,,,,,,,
154495,MRSN117597.R,Kenya,2021,,,,,,,,,
154597,MRSN117527.R.trimmed,Kenya,2021,,,,,,,,,
154598,MRSN117534.R.trimmed,Kenya,2021,,,,,,,,,
155409,GP12-MUS-242,South Africa,2012,,294,100,100,2,100,13,,
155410,GP13-MUS-070,South Africa,2013,18,228,100,7,15,1,100,1632,1632
155411,GP13-MUS-083,South Africa,2013,54,228,100,100,1,100,100,1645,20
155412,GP13-MUS-096,South Africa,2013,10,23,100,100,89,100,8,,
155413,GP13-MUS-099,South Africa,2013,18,228,100,7,15,1,100,1632,1632
155414,GP13-MUS-103,South Africa,2013,10,287,100,1,4,100,3,,
155415,GP13-MUS-105,South Africa,2013,54,515,100,100,2,100,100,1749,1958
155416,GP13-MUS-107,South Africa,2013,10,23,100,1,102,100,3,1930,1771
155417,GP13-MUS-109,South Africa,2013,386,23,100,32,4,1,100,3430,
155418,GP13-MUS-116,South Africa,2013,10,294,100,100,2,100,13,269,42
155419,GP13-MUS-120,South Africa,2013,10,23,100,1,4,1,100,1627,1771
155420,GP13-MUS-121,South Africa,2013,18,228,,7,4,1,100,,
155421,GP13-MUS-129,South Africa,2013,54,294,100,100,2,100,3,,
155422,GP13-MUS-132,South Africa,2013,701,23,100,100,89,100,100,,
155423,GP13-MUS-133,South Africa,2013,18,228,100,7,15,1,14,1304,1632
155424,GP13-MUS-134,South Africa,2013,10,294,100,100,7,100,100,352,352
155425,GP14-MUS-241,South Africa,2014,18,228,100,7,15,1,100,1632,1632
155426,15MUS-AH035,South Africa,2015,18,228,100,7,15,1,100,1632,1632
155427,15MUS-AH077-R,South Africa,2015,69,23,100,100,2,100,100,1835,1958
155428,15MUS-AH080,South Africa,2015,18,228,100,7,15,1,100,1632,1632
155429,15MUS-AH090,South Africa,2015,254,228,100,7,15,1,13,3408,1096
155431,15MUS-AH129,South Africa,2015,,23,100,1,4,1,14,,
155433,15MUS-AH168,South Africa,2015,69,166,100,100,100,100,3,,
155434,16MUS-AH017-R,South Africa,2016,18,228,100,7,15,1,14,1304,1632
155435,17MUS-AH017-R,South Africa,2017,18,228,100,7,55,1,100,1625,1632
155436,17MUS-AH019,South Africa,2017,69,285,100,1,22,1,19,1623,958
155437,17MUS-AH021,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155438,17MUS-AH024,South Africa,2017,69,285,100,1,22,1,100,1496,958
155439,17MUS-AH026,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155440,17MUS-AH027,South Africa,2017,18,228,100,7,20,1,100,1628,1632
155441,17MUS-AH029,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155442,17MUS-AH034,South Africa,2017,236,285,100,1,49,1,100,1747,1054
155443,17MUS-AH035-R,South Africa,2017,171,294,100,1,4,100,3,1626,
155444,17MUS-AH038,South Africa,2017,54,515,100,100,2,100,100,1749,1958
155445,17MUS-AH039,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155446,17MUS-AH041,South Africa,2017,10,285,100,1,49,1,14,1593,1054
155447,17MUS-AH044,South Africa,2017,10,294,100,1,100,1,3,1629,
155448,17MUS-AH047,South Africa,2017,383,285,100,1,22,1,3,,
155449,17MUS-AH051,South Africa,2017,69,285,100,1,22,1,14,4746,958
155450,17MUS-AH052,South Africa,2017,18,228,100,7,20,100,13,,
155451,17MUS-AH054,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155452,17MUS-AH056,South Africa,2017,25,166,100,1,4,,100,,
155453,17MUS-AH057,South Africa,2017,10,294,100,100,100,100,3,157,42
155454,17MUS-AH058,South Africa,2017,18,228,100,7,20,1,100,1628,1632
155455,17MUS-AH059,South Africa,2017,10,294,100,1,100,1,3,1629,
155456,17MUS-AH060-R,South Africa,2017,277,23,100,1,4,100,13,,
155457,17MUS-AH065,South Africa,2017,18,228,100,7,55,1,100,1625,1632
155458,17MUS-AH066,South Africa,2017,69,285,100,1,22,1,19,1623,958
155459,17MUS-AH068,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155460,17MUS-AH069,South Africa,2017,10,23,100,1,4,1,100,1627,1771
155461,17MUS-AH070-R,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155462,17MUS-AH071,South Africa,2017,253,23,100,100,2,100,100,1834,1958
155463,17MUS-AH073-1,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155464,17MUS-AH073-2,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155465,17MUS-AH074,South Africa,2017,10,294,100,1,2,1,14,1756,
155466,17MUS-AH075,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155467,17MUS-AH076,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155468,17MUS-AH098,South Africa,2017,9,166,100,100,100,100,13,467,63
155469,17MUS-AH100,South Africa,2017,10,294,100,32,4,100,19,5198,
155470,17MUS-AH101,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155471,17MUS-AH103,South Africa,2017,10,166,100,1,22,100,19,1210,1271
155472,17MUS-AH105,South Africa,2017,10,23,100,1,4,1,4,1639,1771
155473,17MUS-AH106,South Africa,2017,54,515,100,100,2,100,13,1630,1958
155474,17MUS-AH107,South Africa,2017,69,1928,100,100,2,100,14,1631,
155475,17MUS-AH108-1,South Africa,2017,10,23,100,100,89,1,100,1654,2035
155476,17MUS-AH108-2,South Africa,2017,10,23,100,100,89,1,100,1654,2035
155477,17MUS-AH110,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155478,17MUS-AH111,South Africa,2017,18,228,100,7,15,1,100,1632,1632
155479,17MUS-AH112,South Africa,2017,255,228,100,7,15,1,13,,
155480,17MUS-AH116,South Africa,2017,69,23,100,100,2,100,100,1835,1958
155481,17MUS-AH123,South Africa,2017,69,285,100,1,22,1,19,1623,958
155482,17MUS-AH124,South Africa,2017,,228,100,7,15,1,100,,
155483,MP12-MUS-001,South Africa,2012,10,294,100,100,2,100,13,269,42
155484,MP12-MUS-010,South Africa,2012,10,294,100,100,2,100,14,357,42
155485,MP12-MUS-012,South Africa,2012,10,23,100,1,4,1,100,1627,1771
155486,MP12-MUS-013,South Africa,2012,,515,100,100,2,100,100,,
155487,MP12-MUS-015,South Africa,2012,54,294,100,100,2,100,100,2577,1958
155488,MP12-MUS-028,South Africa,2012,171,294,100,1,4,100,3,1626,
155489,MP12-MUS-030,South Africa,2012,,23,100,1,4,1,13,,
155490,MP12-MUS-035,South Africa,2012,18,228,100,7,15,1,100,1632,1632
155491,MP12-MUS-037,South Africa,2012,10,23,100,1,4,1,100,1627,1771
155492,MP12-MUS-041,South Africa,2012,69,285,100,1,22,1,13,1543,958
155493,MP12-MUS-044,South Africa,2012,10,294,100,100,89,1,19,,
